Customer ID,Customer Name,Alias,DAX Customer Id,MySGS Legacy Id,Customer Type,Portfolio Group Id,Portfolio Group Name,Simplified Group Id,Simplified Group Name
-----------,-------------,-----,---------------,---------------,-------------,------------------,--------------------,-------------------,---------------------
2,"Nestle Purina UK",NULL,NULL,6042,Retailer,118,"NESTLE",4565,"NESTLE"
4,"Loewy Group",NULL,NULL,12032,Design Agency,12606,"LOEWY GROUP",7506,"LOEWY GROUP"
9,"Tetra Pak Pkg Material Lund AB","Tetra Pak Lund (plates)",NULL,20010,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
10,"Tetra Pak Sverige AB","Tetra Pak Lund",NULL,20069,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
11,"Nestle Purina Deutsch",NULL,NULL,14021,Retailer,118,"NESTLE",4565,"NESTLE"
12,"Nestle Hungaria",NULL,NULL,14022,Retailer,118,"NESTLE",4565,"NESTLE"
13,"Nestle Purina Petcare Portugal",NULL,NULL,14028,Retailer,8058,"NESTLE-PURINA",4565,"NESTLE"
30,"Veriplast Flexible Solutions",NULL,NULL,1064,Printer,8449,"VERIPLAST",6901,"VERIPLAST"
31,"Bischoff & Klein GmbH & Co. KG","Bischoff & Klein GmbH & Co. KG (Maltings)",NULL,BIS004,Printer,12427,"BISCHOF & KLEIN",7327,"BISCHOF & KLEIN"
50,"Gascogne Emballage",NULL,NULL,7003,Printer,12526,"GASCOGNE EMBALLAGE",7426,"GASCOGNE EMBALLAGE"
54,"Huhtamaki Flexible Packaging Germany GmbH & Co. KG","Huhtamaki Ronsberg",NULL,8040,Printer,3116,"HUHTAMAKI",3141,"HUHTAMAKI"
59,"Smurfit Kappa Wellpappe Bruhl",NULL,NULL,30448,Printer,104,"SMURFIT",6073,"SMURFIT"
60,"Smurfit Kappa UK Stalybridge",NULL,NULL,30254,Printer,104,"SMURFIT",6073,"SMURFIT"
61,"DS Smith Packaging",NULL,NULL,30044,Printer,1307,"MONDELEZ",4382,"MONDELEZ"
64,"MMP Packaging Behrens Berlin",NULL,NULL,30101,Printer,12633,"MMP PACKAGING",7533,"MMP PACKAGING"
65,"MMP Packaging Caesar GmbH.",NULL,NULL,29619,Printer,12633,"MMP PACKAGING",7533,"MMP PACKAGING"
66,"MMP Packaging France",NULL,NULL,29718,Printer,1307,"MONDELEZ",4382,"MONDELEZ"
71,"Nordenia Deutschland Halle GmbH",NULL,NULL,14016,Printer,3479,"MONDI JACKSON LLC",4383,"MONDI PACKAGING"
72,"Nordenia Poland","Nordenia Polska Poznan SP.ZO.O",NULL,27832,Printer,3479,"MONDI JACKSON LLC",4383,"MONDI PACKAGING"
73,"Mondi San Pietro in GU S.r.l..","Mondi San Pietro in GU (Hull site)",NULL,14024,Printer,3605,"MONDI PACKAGING",4383,"MONDI PACKAGING"
80,"Saffron Partnership",NULL,NULL,19101,Design Agency,12715,"SAFFRON PARTNERSHIP",7614,"SAFFRON PARTNERSHIP"
98,"Mondi Szada",NULL,NULL,14023,Printer,3479,"MONDI JACKSON LLC",4383,"MONDI PACKAGING"
100,"Smurfit Lembacel",NULL,NULL,19080,Printer,104,"SMURFIT",6073,"SMURFIT"
106,"Amcor Flexibles Cumbria","Amcor Flexibles Cumbria acc19028",NULL,19028,Printer,3488,"AMCOR",335,"AMCOR"
111,"SGS Toronto","SGS Toronto - Brampton",NULL,SGS013,Inter Company,708,"SGS INTERCOMPANY BIL",5922,"SGS INTERCOMPANY BIL"
112,"Smurfit Kappa Italy","Smurfit Kappa Italy (Lunata)",NULL,29701,Printer,104,"SMURFIT",6073,"SMURFIT"
113,"Evergreen Garden Care UK Ltd","Evergreen Garden Care UK Ltd (Bridgehead)",NULL,27448,Retailer,9910,"SCOTTS CO, THE",5855,"SCOTTS CO, THE"
116,"Waitrose",NULL,NULL,23004,Retailer,12814,"WAITROSE LIMITED",7713,"WAITROSE LIMITED"
117,"Tesco","Tesco (Marks)",NULL,TES001,Retailer,12773,"TESCO",7672,"TESCO"
121,"United Biscuits",NULL,NULL,21021,Supplier,12797,"UNITED BISCUITS",7696,"UNITED BISCUITS"
123,"Tetra Pak Production Ltd","Tetra Pak Hungary",NULL,20008,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
124,"Tetra Pak Hungary Trading Ltd",NULL,NULL,20074,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
125,"DO NOT USE Mondi Scunthorpe Limited",NULL,NULL,23016,Printer,3605,"MONDI PACKAGING",4383,"MONDI PACKAGING"
126,"Amcor Flexibles  Cumbria..","Amcor Flexibles Cumbria  acc901201",NULL,901201,Printer,3488,"AMCOR",335,"AMCOR"
127,"Wm Morrison Supermarkets plc","Morrisons",NULL,29711,Retailer,12830,"WM MORRISON SUPERMARKETS PLC",7729,"WM MORRISON SUPERMARKETS PLC"
128,"Tetra Pak Ukraine","Tetra Pak Ukraine (CF)",NULL,20014,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
134,"Wrigley Munich",NULL,NULL,WRIG02,Retailer,636,"MARS, INC.",4121,"MARS, INC."
138,"DO NOT USE - EBR Limited",NULL,NULL,5001,Printer,5755,"INTERFLEX GROUP INC",3301,"INTERFLEX GROUP INC"
139,"Tetra Pak Produktions GmbH","Tetra Pak Limburg",NULL,20082,Marketing Company,8915,"TETRA PAK",6542,"TETRA PAK"
142,"Benson Box","DO NOT USE",NULL,2015,Printer,4680,"BENSON BOX",750,"BENSON BOX"
144,"Nicholas & Harris",NULL,NULL,14043,Supplier,12654,"NICHOLAS & HARRIS",7553,"NICHOLAS & HARRIS"
152,"Printpac",NULL,NULL,16038,Printer,5411,"PRINTPACK",5340,"PRINTPACK"
186,"Marchmont Packaging",NULL,NULL,29425,Printer,12614,"MARCHMONT PACKAGING",7514,"MARCHMONT PACKAGING"
189,"Princes Soft Drinks",NULL,NULL,16066,Supplier,12695,"PRINCES SOFT DRINKS",7594,"PRINCES SOFT DRINKS"
